user_id,device_brand,device_model,data_format,available_metrics,api_available,ehr_export_supported,platforms_integrated,fragmentation_index
U00004,Apple,Watch Series 9,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,False,vendor_portal_only,0.1152807688219875
U00005,Oura,Oura Ring Gen 3,proprietary_json,"heart_rate,hrv,sleep_stages,temperature,activity",True,False,vendor_portal_only,0.47643305824782456
U00006,Samsung,Galaxy Fit 3,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.4706389634120979
U00007,Apple,Watch SE,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.34921043229151044
U00008,Garmin,Forerunner 265,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",True,False,vendor_portal_only,0.4709267169788565
U00010,Apple,Watch Series 9,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,third_party_aggregator,0.37584715640140415
U00013,Garmin,Forerunner 265,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",False,False,vendor_portal_only,0.4389634580406188
U00014,Oura,Oura Ring Gen 3,proprietary_json,"heart_rate,hrv,sleep_stages,temperature,activity",False,False,vendor_portal_only,0.46263035647835243
U00015,Apple,Watch Series 9,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,False,vendor_portal_only,0.33736605096994116
U00020,Fitbit,Sense 2,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,False,third_party_aggregator,0.45877713202120085
U00021,Fitbit,Charge 6,csv_export,"steps,heart_rate,spo2,sleep_stages",True,True,ehr_system,0.2870993962011543
U00023,Fitbit,Sense 2,csv_export,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.39547787102840826
U00026,Samsung,Galaxy Fit 3,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,True,third_party_aggregator,0.33879612759287214
U00027,Apple,Watch Ultra,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,False,vendor_portal_only,0.049140519779959514
U00028,Samsung,Galaxy Watch 6,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.4416149088958647
U00031,Apple,Watch Series 9,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,third_party_aggregator,0.12054778182094843
U00033,Other,Generic Tracker,csv_export,"steps,heart_rate",False,False,vendor_portal_only,0.7156448418667521
U00034,Samsung,Galaxy Fit 3,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,False,vendor_portal_only,0.16505711769743103
U00037,Garmin,Fenix 7,csv_export,"steps,heart_rate,hrv,sleep_stages,stress",False,False,vendor_portal_only,0.29204993844688887
U00042,Fitbit,Charge 6,csv_export,"steps,heart_rate,spo2,sleep_stages",True,False,third_party_aggregator,0.29796814379171804
U00043,Samsung,Galaxy Fit 3,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.5482414678435884
U00046,Garmin,Forerunner 265,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",True,True,third_party_aggregator,0.3199727410021109
U00047,Garmin,Venu 3,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",False,False,vendor_portal_only,0.23875435695869396
U00050,Garmin,Forerunner 265,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",False,False,vendor_portal_only,0.4546517622990391
U00051,Oura,Oura Ring Gen 3,proprietary_json,"heart_rate,hrv,sleep_stages,temperature,activity",True,False,third_party_aggregator,0.4652842258025833
U00052,Apple,Watch Ultra,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.3290560560649339
U00054,Apple,Watch Series 9,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,False,third_party_aggregator,0.14881200508354653
U00055,Other,Budget Smartwatch,csv_export,"steps,heart_rate",False,True,third_party_aggregator,0.6921707764279557
U00056,Apple,Watch Series 9,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.49695667967271867
U00059,Whoop,Whoop 4.0,proprietary_json,"heart_rate,hrv,sleep_stages,strain,recovery",True,False,third_party_aggregator,0.5069297873738182
U00062,Garmin,Fenix 7,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",False,False,vendor_portal_only,0.4280095614550942
U00063,Whoop,Whoop 4.0,proprietary_json,"heart_rate,hrv,sleep_stages,strain,recovery",False,True,third_party_aggregator,0.2510127535532282
U00064,Garmin,Venu 3,csv_export,"steps,heart_rate,hrv,sleep_stages,stress",False,False,vendor_portal_only,0.272053106801177
U00066,Samsung,Galaxy Watch 6,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.4443608982859878
U00068,Samsung,Galaxy Watch 6,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,True,third_party_aggregator,0.3338143160496893
U00069,Fitbit,Versa 4,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,True,ehr_system,0.4237319552720935
U00070,Fitbit,Sense 2,csv_export,"steps,heart_rate,spo2,sleep_stages",True,False,vendor_portal_only,0.4009926422955911
U00071,Apple,Watch Ultra,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",False,True,ehr_system,0.11819705641222394
U00072,Apple,Watch Series 9,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,third_party_aggregator,0.35153062826248177
U00073,Other,Budget Smartwatch,csv_export,"steps,heart_rate",False,False,vendor_portal_only,0.40146301131552
U00074,Fitbit,Versa 4,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,False,third_party_aggregator,0.2582093713031087
U00075,Garmin,Forerunner 265,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",True,False,vendor_portal_only,0.434422737330132
U00076,Fitbit,Versa 4,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,False,vendor_portal_only,0.5380427609607895
U00077,Apple,Watch Series 9,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.14961236478725096
U00081,Other,Generic Tracker,csv_export,"steps,heart_rate",False,False,vendor_portal_only,0.6795368906839104
U00083,Apple,Watch Series 9,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.26560204688303407
U00085,Garmin,Venu 3,csv_export,"steps,heart_rate,hrv,sleep_stages,stress",False,True,third_party_aggregator,0.49860399666586575
U00086,Fitbit,Versa 4,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,True,third_party_aggregator,0.4920836659614906
U00087,Apple,Watch SE,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.209592473599806
U00091,Apple,Watch SE,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.351184924126295
U00092,Garmin,Fenix 7,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",True,True,ehr_system,0.5995482578239569
U00095,Apple,Watch Ultra,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,False,third_party_aggregator,0.4283959178871573
U00098,Whoop,Whoop 4.0,proprietary_json,"heart_rate,hrv,sleep_stages,strain,recovery",True,True,third_party_aggregator,0.6403461939498917
U00099,Samsung,Galaxy Watch 6,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.4020411674493687
U00100,Apple,Watch SE,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.2025415526385131
U00103,Fitbit,Charge 6,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.17492159214204708
U00104,Apple,Watch Ultra,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.2222046467341502
U00105,Withings,Steel HR,proprietary_json,"steps,heart_rate,spo2,ecg,temperature",True,True,third_party_aggregator,0.4657272830717112
U00110,Samsung,Galaxy Fit 3,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.36467107765939305
U00113,Apple,Watch SE,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",False,True,third_party_aggregator,0.3097717992814828
U00115,Garmin,Fenix 7,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",True,True,ehr_system,0.18187400883902102
U00117,Apple,Watch SE,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",False,True,ehr_system,0.23180257297101947
U00119,Garmin,Forerunner 265,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",False,False,vendor_portal_only,0.6992154263695466
U00120,Apple,Watch Ultra,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",False,True,third_party_aggregator,0.34955987595022237
U00123,Apple,Watch SE,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,third_party_aggregator,0.3116190129212721
U00125,Apple,Watch Ultra,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,third_party_aggregator,0.289068237502249
U00127,Garmin,Venu 3,csv_export,"steps,heart_rate,hrv,sleep_stages,stress",True,False,vendor_portal_only,0.3451852213902
U00130,Samsung,Galaxy Watch 6,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.1344301647540601
U00131,Fitbit,Sense 2,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,True,ehr_system,0.40485543084943987
U00133,Apple,Watch Series 9,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,False,vendor_portal_only,0.005157168371033136
U00134,Garmin,Fenix 7,csv_export,"steps,heart_rate,hrv,sleep_stages,stress",True,False,third_party_aggregator,0.35116662060808357
U00135,Apple,Watch SE,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,third_party_aggregator,0.2496340810497669
U00140,Fitbit,Versa 4,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,False,vendor_portal_only,0.2963371477511583
U00141,Garmin,Venu 3,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",False,False,vendor_portal_only,0.7257074590202846
U00142,Fitbit,Sense 2,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,True,third_party_aggregator,0.5689211342120074
U00143,Samsung,Galaxy Watch 6,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.524593642714747
U00144,Apple,Watch SE,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,False,third_party_aggregator,0.15746732339276226
U00146,Garmin,Venu 3,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",False,False,vendor_portal_only,0.6882122990448182
U00147,Apple,Watch Series 9,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.3118969138823701
U00148,Fitbit,Sense 2,csv_export,"steps,heart_rate,spo2,sleep_stages",True,False,third_party_aggregator,0.23696244082963863
U00149,Samsung,Galaxy Watch 6,proprietary_json,"steps,heart_rate,spo2,sleep_stages",False,False,vendor_portal_only,0.3845803675814739
U00150,Apple,Watch Ultra,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,third_party_aggregator,0.3458574853538133
U00151,Whoop,Whoop 4.0,proprietary_json,"heart_rate,hrv,sleep_stages,strain,recovery",False,True,ehr_system,0.4422018086843845
U00152,Garmin,Forerunner 265,proprietary_json,"steps,heart_rate,hrv,sleep_stages,stress",True,False,third_party_aggregator,0.42107988320091877
U00159,Withings,Steel HR,open_fhir,"steps,heart_rate,spo2,ecg,temperature",True,True,ehr_system,0.49430669280522227
U00163,Apple,Watch Series 9,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,third_party_aggregator,0.13991457984600006
U00164,Fitbit,Versa 4,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,False,third_party_aggregator,0.3175888582690518
U00166,Fitbit,Sense 2,csv_export,"steps,heart_rate,spo2,sleep_stages",True,False,third_party_aggregator,0.22694449099481734
U00169,Oura,Oura Ring Gen 3,proprietary_json,"heart_rate,hrv,sleep_stages,temperature,activity",False,True,third_party_aggregator,0.638986882513075
U00170,Fitbit,Charge 6,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,False,vendor_portal_only,0.2410333489307342
U00171,Apple,Watch Ultra,proprietary_json,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",False,True,ehr_system,0.279180370413139
U00174,Samsung,Galaxy Watch 6,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,False,third_party_aggregator,0.18537818542489629
U00179,Apple,Watch Series 9,open_fhir,"steps,heart_rate,spo2,hrv,sleep_stages,ecg",True,True,ehr_system,0.136656311685869
U00180,Fitbit,Sense 2,proprietary_json,"steps,heart_rate,spo2,sleep_stages",True,True,third_party_aggregator,0.20817425489951819
